MachineID,ActionPoint,Sensor1,Sensor2,Sensor3,Sensor4,ServicePeriod,ErrorID_error1,ErrorID_error2,ErrorID_error3,ErrorID_error4,ErrorID_error5,ComponentReplacement_Component2,ComponentReplacement_Component3,ComponentReplacement_Component4,ComponentReplacement_Component1,ComponentAttended_Component2,ComponentAttended_Component3,ComponentAttended_Component4,ComponentAttended_Component1,ServiceType_ComponentRepair,ServiceType_ScheduledService,MachineModel_model2,MachineModel_model3,MachineModel_model4,MachineModel_model1
MID11014,ComponentRepair,170.67652316038925,446.1229254178097,100.8342784684458,40.46140264779244,176396,0.0,6.0,5.0,0.0,4.0,5.0,0.0,4.0,0.0,5.0,4.0,5.0,10.0,24.0,0.0,0.0,0.0,8018.0,0.0
MID11015,ComponentRepair,170.9547933641011,446.9213242484707,100.70667045652984,40.440293845577976,176374,3.0,4.0,5.0,2.0,4.0,3.0,0.0,5.0,2.0,6.0,6.0,7.0,4.0,23.0,0.0,0.0,0.0,8017.0,0.0
MID11016,ComponentRepair,170.71373579446225,447.3726073958595,100.45979204539776,40.55022517585415,176396,2.0,3.0,2.0,1.0,5.0,1.0,0.0,5.0,2.0,2.0,6.0,12.0,6.0,25.0,1.0,0.0,0.0,8018.0,0.0
MID11017,ComponentRepair,170.40336389027453,446.49656372817907,100.90052357107201,40.46808664214466,176440,1.0,2.0,4.0,0.0,2.0,4.0,0.0,3.0,2.0,6.0,6.0,10.0,6.0,28.0,0.0,0.0,8020.0,0.0,0.0
MID11018,ComponentRepair,171.2974868594936,447.73225586585136,100.66874263932206,40.67443389602297,168441,5.0,4.0,2.0,0.0,6.0,2.0,0.0,10.0,5.0,9.0,9.0,6.0,4.0,27.0,1.0,0.0,8021.0,0.0,0.0
MID11019,ComponentRepair,170.84679259536242,446.6355365619525,100.8777222550487,40.41613064697101,176484,2.0,3.0,3.0,1.0,2.0,4.0,0.0,3.0,2.0,9.0,5.0,11.0,3.0,28.0,0.0,0.0,0.0,8022.0,0.0
MID11020,ComponentRepair,170.87922646802087,446.8668803889792,101.33115759256968,40.54540977060209,168441,1.0,4.0,3.0,4.0,4.0,3.0,7.0,6.0,1.0,7.0,6.0,7.0,9.0,29.0,0.0,8021.0,0.0,0.0,0.0
MID11021,ComponentRepair,171.1860582543641,446.49773572319225,100.87249214214438,40.33362950374054,168420,4.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,5.0,9.0,6.0,5.0,6.0,26.0,0.0,8020.0,0.0,0.0,0.0
MID11022,ComponentRepair,170.6772809446659,444.46639450398663,100.63122643943183,40.50787364905275,176528,1.0,5.0,5.0,1.0,4.0,6.0,0.0,7.0,1.0,8.0,4.0,5.0,10.0,27.0,0.0,0.0,8024.0,0.0,0.0
MID11023,ComponentRepair,170.20567303230644,446.15886269177923,101.03016471498046,40.58666865785215,176374,2.0,3.0,3.0,2.0,3.0,4.0,2.0,5.0,1.0,6.0,3.0,8.0,5.0,22.0,0.0,0.0,0.0,0.0,8017.0
MID11024,ComponentRepair,170.88994668993922,446.7050838673478,101.05175071437519,40.66798251215558,168441,3.0,4.0,3.0,2.0,6.0,5.0,3.0,6.0,3.0,9.0,2.0,7.0,7.0,25.0,0.0,0.0,0.0,0.0,8021.0
MID11025,ComponentRepair,170.57246376558587,446.06618438902746,100.34532951371564,40.50504375561082,176440,5.0,5.0,4.0,0.0,3.0,6.0,0.0,4.0,1.0,11.0,3.0,5.0,8.0,23.0,4.0,0.0,0.0,8020.0,0.0
MID11026,ComponentRepair,170.85305393342583,445.1759751776595,100.77508425258704,40.51330789427749,176462,4.0,4.0,4.0,1.0,4.0,5.0,0.0,8.0,3.0,8.0,5.0,5.0,6.0,24.0,0.0,0.0,8021.0,0.0,0.0
MID11027,ComponentRepair,170.8500040877377,445.5417542497501,101.1519802068794,40.435184761964216,176528,2.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,1.0,12.0,6.0,6.0,6.0,29.0,1.0,8024.0,0.0,0.0,0.0
MID11028,ComponentReplacement,170.44955550567474,446.20881907968635,100.64555090784395,40.57198856964706,176418,2.0,2.0,2.0,2.0,4.0,3.0,0.0,7.0,3.0,9.0,6.0,6.0,6.0,27.0,0.0,0.0,8019.0,0.0,0.0
MID11029,ComponentReplacement,170.90188957139372,447.54502794667343,101.29559099925262,40.64400955021193,168546,5.0,2.0,1.0,4.0,4.0,1.0,9.0,7.0,5.0,2.0,9.0,10.0,8.0,29.0,0.0,0.0,0.0,0.0,8026.0
MID11030,ComponentRepair,170.40641277577015,445.9855901657738,100.89831900037386,40.55112032780728,168483,0.0,3.0,3.0,1.0,3.0,3.0,0.0,5.0,1.0,7.0,5.0,12.0,7.0,31.0,0.0,0.0,8023.0,0.0,0.0
MID11031,NoIssue,170.89517412953916,448.2033242231376,100.74214432547116,40.460595028079425,176286,3.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,2.0,5.0,9.0,5.0,21.0,0.0,0.0,8013.0,0.0,0.0
MID11032,ComponentRepair,170.84708440344073,445.3919412791395,100.58915858870503,40.59494537962856,168441,3.0,4.0,5.0,1.0,4.0,5.0,0.0,6.0,6.0,7.0,6.0,7.0,7.0,25.0,2.0,0.0,0.0,8021.0,0.0
MID11033,ComponentRepair,171.00882287638768,447.05010750904387,100.9377650193339,40.48990019832849,176374,5.0,4.0,2.0,0.0,5.0,2.0,0.0,7.0,3.0,5.0,7.0,10.0,3.0,22.0,3.0,0.0,0.0,8017.0,0.0
MID11034,NoIssue,170.57994350754683,447.3753908818772,100.6245568728951,40.41714082075592,176374,2.0,2.0,1.0,0.0,3.0,1.0,0.0,4.0,2.0,3.0,8.0,8.0,7.0,24.0,2.0,0.0,0.0,8017.0,0.0
MID11035,NoIssue,170.80771273520278,445.59380716510674,101.32346250467245,40.53000632772592,176550,6.0,4.0,4.0,6.0,3.0,5.0,5.0,5.0,6.0,6.0,7.0,5.0,7.0,25.0,0.0,0.0,0.0,0.0,8025.0
MID11036,ComponentRepair,170.93868784255022,446.0573857747887,100.65858657698097,40.50358664299967,176616,5.0,3.0,4.0,1.0,3.0,5.0,0.0,5.0,6.0,8.0,6.0,8.0,11.0,29.0,4.0,0.0,8028.0,0.0,0.0
MID11037,NoIssue,170.7138792243421,445.8050978675636,100.68105255144012,40.43827528868943,176418,2.0,3.0,4.0,0.0,4.0,5.0,0.0,5.0,3.0,5.0,7.0,7.0,5.0,20.0,4.0,0.0,8019.0,0.0,0.0
MID11038,ComponentReplacement,171.1467915877369,445.42914093967903,101.65459219341979,40.58450734795622,176528,3.0,4.0,4.0,6.0,4.0,6.0,8.0,4.0,3.0,8.0,7.0,8.0,8.0,31.0,0.0,8024.0,0.0,0.0,0.0
MID11040,NoIssue,171.10045942408348,447.15963956619356,100.75868218274752,40.55267579531283,176484,6.0,3.0,4.0,0.0,5.0,4.0,0.0,5.0,7.0,8.0,4.0,8.0,9.0,25.0,4.0,0.0,8022.0,0.0,0.0
MID11041,ComponentRepair,171.2187747910684,448.3322107770977,100.77928026693326,40.41393736809292,168357,6.0,2.0,1.0,0.0,3.0,1.0,0.0,5.0,3.0,8.0,10.0,3.0,4.0,25.0,0.0,0.0,8017.0,0.0,0.0
MID11042,ComponentRepair,170.5349579905264,446.0394624781846,101.25994472450733,40.51822066816248,168462,1.0,4.0,5.0,4.0,4.0,6.0,5.0,5.0,1.0,9.0,9.0,5.0,4.0,27.0,0.0,8022.0,0.0,0.0,0.0
MID11043,NoIssue,170.46707260479067,447.7941313747492,100.53773114396215,40.393219844061974,168336,0.0,1.0,1.0,0.0,3.0,1.0,0.0,4.0,0.0,7.0,5.0,4.0,7.0,20.0,3.0,0.0,8016.0,0.0,0.0
MID11044,ComponentRepair,170.88791489653434,446.6795739341807,100.82934705559704,40.503013875591975,168462,4.0,3.0,3.0,2.0,3.0,3.0,0.0,6.0,4.0,7.0,4.0,13.0,7.0,28.0,3.0,0.0,8022.0,0.0,0.0
MID11046,ComponentReplacement,170.7894850324039,445.6816687936179,100.69923810443657,40.4869328240279,168504,2.0,3.0,2.0,0.0,3.0,4.0,0.0,4.0,2.0,9.0,5.0,11.0,6.0,29.0,2.0,0.0,8024.0,0.0,0.0
MID11047,ComponentRepair,170.77259356207117,447.88035670617455,101.44974658016224,40.606904476606196,176330,3.0,2.0,2.0,4.0,5.0,2.0,6.0,6.0,1.0,4.0,4.0,10.0,7.0,24.0,1.0,8015.0,0.0,0.0,0.0
MID11048,ComponentReplacement,170.8627002866038,445.21679747040565,101.10360092336443,40.46655667414332,176550,4.0,4.0,6.0,3.0,3.0,7.0,4.0,5.0,4.0,10.0,5.0,7.0,9.0,31.0,0.0,8025.0,0.0,0.0,0.0
MID11050,NoIssue,170.50212699501262,447.65942386533663,101.41482879800525,40.45732927805483,176440,1.0,2.0,1.0,5.0,3.0,1.0,6.0,5.0,0.0,5.0,9.0,7.0,7.0,25.0,3.0,0.0,0.0,0.0,8020.0
MID11051,ComponentRepair,170.24561511410374,445.1886645591727,101.05124681007605,40.46672127946128,176418,2.0,4.0,4.0,3.0,3.0,6.0,4.0,3.0,0.0,6.0,9.0,3.0,7.0,25.0,0.0,8019.0,0.0,0.0,0.0
MID11053,ComponentReplacement,170.7249880189505,446.0008146615124,100.70365135643941,40.47625512280273,160420,2.0,2.0,2.0,0.0,4.0,4.0,0.0,8.0,2.0,6.0,8.0,6.0,10.0,30.0,0.0,0.0,0.0,8021.0,0.0
MID11054,NoIssue,170.68210764243858,446.26352032165556,100.78295257324541,40.61659528487708,160420,2.0,4.0,3.0,0.0,4.0,5.0,0.0,5.0,2.0,7.0,7.0,9.0,6.0,29.0,0.0,0.0,0.0,8021.0,0.0
MID11055,ComponentRepair,170.7981685326031,446.66710331629423,100.53051746540373,40.40810358558786,160420,2.0,3.0,4.0,1.0,4.0,5.0,0.0,6.0,3.0,7.0,8.0,5.0,8.0,28.0,0.0,0.0,8021.0,0.0,0.0
MID11056,ComponentRepair,170.8309138120174,445.1452278982793,100.75034620668177,40.473236186736465,168462,3.0,3.0,4.0,1.0,3.0,5.0,0.0,3.0,4.0,6.0,6.0,8.0,8.0,28.0,0.0,0.0,0.0,8022.0,0.0
MID11057,ComponentRepair,170.94789932685134,446.86154025180844,100.53890963600121,40.611848454250975,168462,5.0,3.0,4.0,2.0,6.0,4.0,0.0,10.0,4.0,8.0,7.0,8.0,4.0,25.0,2.0,0.0,0.0,8022.0,0.0
MID11058,ComponentRepair,170.92894889692062,445.20095091611773,100.7503978549172,40.53258065561527,168483,2.0,5.0,4.0,0.0,4.0,7.0,0.0,6.0,3.0,8.0,5.0,8.0,6.0,27.0,0.0,0.0,0.0,8023.0,0.0
MID11059,ComponentRepair,170.1239814657857,445.4208775271089,100.95668447588206,40.18772558768539,160460,1.0,5.0,4.0,3.0,1.0,7.0,3.0,2.0,0.0,9.0,5.0,4.0,9.0,26.0,1.0,0.0,0.0,0.0,8023.0
MID11060,ComponentRepair,170.70763381949658,447.61458762154234,100.65487819621056,40.6084225866367,160440,4.0,4.0,4.0,0.0,4.0,5.0,0.0,6.0,2.0,7.0,5.0,9.0,4.0,25.0,0.0,0.0,8022.0,0.0,0.0
MID11061,NoIssue,170.7255682713885,446.5302876777253,100.88596300947854,40.46448389249187,160360,1.0,2.0,2.0,0.0,3.0,4.0,0.0,4.0,2.0,7.0,9.0,4.0,3.0,23.0,0.0,0.0,8018.0,0.0,0.0
MID11062,ComponentRepair,170.90599845347947,446.82625702169946,100.65828075704644,40.52994897355949,160360,5.0,4.0,3.0,0.0,4.0,5.0,0.0,6.0,4.0,4.0,6.0,7.0,6.0,23.0,0.0,0.0,8018.0,0.0,0.0
MID11063,ComponentRepair,171.1510386437301,447.17688673647467,100.67191864497654,40.49623471827482,160440,5.0,3.0,4.0,0.0,3.0,5.0,0.0,6.0,5.0,4.0,11.0,7.0,7.0,26.0,3.0,0.0,0.0,8022.0,0.0
MID11064,ComponentRepair,171.07439815484372,446.8110156962981,100.64925386360792,40.44253131779062,168441,4.0,2.0,3.0,1.0,3.0,3.0,0.0,6.0,5.0,4.0,11.0,8.0,7.0,29.0,1.0,0.0,8021.0,0.0,0.0
MID11065,ComponentRepair,170.60992763994497,446.9184284253831,100.98572373768859,40.385109693305004,160420,2.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,9.0,10.0,6.0,6.0,29.0,2.0,0.0,0.0,8021.0,0.0
MID11066,NoIssue,171.00600511540898,447.26287567061627,100.68975961322506,40.49105562570174,160300,2.0,0.0,0.0,3.0,3.0,1.0,0.0,4.0,3.0,5.0,8.0,6.0,5.0,21.0,3.0,0.0,8015.0,0.0,0.0
MID11067,ComponentReplacement,171.13092878674604,445.7437060288991,101.37154826108622,40.63829046711538,168588,3.0,6.0,4.0,4.0,4.0,6.0,5.0,6.0,6.0,10.0,8.0,9.0,5.0,32.0,0.0,8028.0,0.0,0.0,0.0
MID11068,ComponentRepair,170.92898813115616,444.6820688318165,100.86677790799146,40.39604105099099,160420,3.0,5.0,6.0,0.0,2.0,8.0,0.0,2.0,3.0,8.0,4.0,2.0,7.0,21.0,0.0,0.0,0.0,8021.0,0.0
MID11070,ComponentReplacement,170.2562339111998,447.77748070591156,100.66953880892981,40.57205458468445,168378,2.0,3.0,1.0,0.0,4.0,1.0,0.0,7.0,2.0,6.0,7.0,8.0,6.0,26.0,1.0,0.0,8018.0,0.0,0.0
MID11071,ComponentRepair,170.96301905533346,444.84196478065974,100.67088041126618,40.525790196909256,168504,2.0,6.0,5.0,0.0,4.0,8.0,0.0,4.0,3.0,8.0,9.0,5.0,5.0,27.0,0.0,0.0,8024.0,0.0,0.0
MID11073,ComponentReplacement,170.83683188333487,447.09802561386215,101.13555652997624,40.403111614109314,160460,2.0,2.0,2.0,6.0,3.0,3.0,6.0,3.0,4.0,8.0,9.0,7.0,5.0,28.0,1.0,8023.0,0.0,0.0,0.0
MID11075,ComponentRepair,170.8692846048368,446.7442517452022,100.75954896659174,40.486443399401594,160440,3.0,3.0,2.0,0.0,2.0,3.0,0.0,3.0,3.0,8.0,5.0,11.0,7.0,31.0,0.0,0.0,0.0,8022.0,0.0
MID11076,ComponentRepair,170.7495840149624,447.9181759725685,100.83755260349105,40.42764924563575,160400,1.0,2.0,2.0,0.0,3.0,2.0,0.0,5.0,1.0,3.0,7.0,9.0,11.0,27.0,3.0,0.0,8020.0,0.0,0.0
MID11078,NoIssue,170.8366633383204,446.6177336948379,100.95680972450776,40.457061742707715,160440,1.0,1.0,2.0,0.0,3.0,2.0,0.0,7.0,2.0,10.0,6.0,4.0,8.0,28.0,0.0,0.0,0.0,8022.0,0.0
MID11079,ComponentRepair,170.58358287602837,446.4026793963579,101.25286962708948,40.55266308555745,160360,2.0,1.0,1.0,5.0,3.0,2.0,5.0,4.0,2.0,4.0,7.0,11.0,5.0,27.0,0.0,8018.0,0.0,0.0,0.0
MID11081,ComponentRepair,170.61048590319368,447.4782801397185,100.67446608033907,40.5297599812874,160320,2.0,2.0,2.0,1.0,3.0,1.0,0.0,6.0,1.0,11.0,7.0,4.0,4.0,24.0,2.0,0.0,0.0,8016.0,0.0
MID11082,ComponentRepair,170.56927453865413,446.37269607231985,100.75490290024985,40.55065732044899,168420,1.0,5.0,6.0,0.0,3.0,7.0,0.0,4.0,2.0,9.0,7.0,3.0,6.0,25.0,0.0,0.0,0.0,8020.0,0.0
MID11083,ComponentReplacement,170.81136466774615,445.0509466151334,100.57887902879972,40.159053667871724,168441,3.0,6.0,5.0,0.0,2.0,8.0,0.0,4.0,2.0,6.0,3.0,7.0,8.0,23.0,1.0,0.0,8021.0,0.0,0.0
MID11084,ComponentReplacement,170.93785236254863,447.1177463782575,100.72464311183177,40.44454644807365,168441,5.0,3.0,1.0,0.0,3.0,2.0,0.0,4.0,6.0,6.0,10.0,9.0,6.0,29.0,2.0,0.0,0.0,8021.0,0.0
MID11085,ComponentReplacement,170.76035788622028,445.782923739573,101.33095976596555,40.29534851736592,160660,3.0,5.0,4.0,5.0,1.0,8.0,7.0,3.0,2.0,12.0,10.0,6.0,7.0,33.0,2.0,8033.0,0.0,0.0,0.0
MID11086,ComponentReplacement,170.63615838107242,445.89989082191687,100.69672687671206,40.42569128393516,168630,1.0,5.0,6.0,2.0,3.0,10.0,0.0,4.0,2.0,9.0,9.0,7.0,9.0,33.0,1.0,0.0,8030.0,0.0,0.0
MID11087,ComponentRepair,170.93177147487825,445.9321907742191,101.08757882308977,40.66462900760498,160420,3.0,3.0,3.0,3.0,4.0,3.0,4.0,7.0,3.0,5.0,11.0,7.0,6.0,28.0,1.0,8021.0,0.0,0.0,0.0
MID11088,ComponentRepair,170.58879214757562,446.93532449208624,100.84962898666329,40.533922198678695,152437,0.0,2.0,2.0,0.0,4.0,4.0,0.0,7.0,0.0,6.0,7.0,8.0,9.0,30.0,0.0,0.0,8023.0,0.0,0.0
MID11089,NoIssue,170.5789083821882,447.3977920419123,101.36981490956711,40.59159626418848,160340,1.0,1.0,0.0,3.0,5.0,0.0,3.0,6.0,2.0,3.0,10.0,7.0,7.0,27.0,0.0,0.0,0.0,0.0,8017.0
MID11090,ComponentRepair,170.83737658196307,445.951253873941,100.7712439848037,40.41294229696067,160560,2.0,3.0,3.0,0.0,4.0,5.0,0.0,6.0,4.0,7.0,3.0,10.0,12.0,32.0,0.0,0.0,8028.0,0.0,0.0
MID11091,NoIssue,171.11498496821562,444.5971236819138,100.84044193319237,40.49335394116915,160460,4.0,6.0,5.0,1.0,3.0,6.0,0.0,4.0,5.0,10.0,2.0,7.0,8.0,20.0,7.0,0.0,8023.0,0.0,0.0
MID11092,NoIssue,170.83041392389276,446.10254072364313,100.44610886712398,40.46191477354954,160300,2.0,2.0,3.0,0.0,3.0,2.0,0.0,4.0,2.0,6.0,6.0,7.0,4.0,22.0,1.0,0.0,0.0,8015.0,0.0
MID11093,ComponentRepair,170.59767977303844,447.0581017084417,100.75095221473964,40.42061763436826,160380,1.0,4.0,2.0,0.0,3.0,2.0,0.0,4.0,1.0,6.0,3.0,9.0,9.0,27.0,0.0,0.0,8019.0,0.0,0.0
MID11094,ComponentRepair,171.1740303143715,447.55306067864257,100.70915399451079,40.54518195733532,160320,4.0,2.0,2.0,1.0,4.0,0.0,0.0,4.0,6.0,5.0,7.0,9.0,4.0,25.0,0.0,0.0,0.0,8016.0,0.0
MID11095,NoIssue,170.45716652114183,446.3227134963202,100.74179469627065,40.462724247224656,160340,0.0,2.0,1.0,0.0,4.0,1.0,0.0,5.0,0.0,8.0,6.0,6.0,4.0,23.0,1.0,0.0,8017.0,0.0,0.0
MID11096,ComponentRepair,170.73434359486117,447.9661345141569,101.51490910939276,40.57724631034047,160340,1.0,2.0,3.0,5.0,4.0,2.0,7.0,5.0,2.0,6.0,6.0,6.0,4.0,22.0,0.0,0.0,0.0,0.0,8017.0
MID11097,ComponentReplacement,170.84318059534147,446.68591184456255,101.49744574044097,40.489604668078215,152551,3.0,4.0,4.0,5.0,3.0,5.0,9.0,4.0,4.0,8.0,11.0,9.0,7.0,34.0,1.0,8029.0,0.0,0.0,0.0
MID11098,ComponentRepair,170.65942592916036,448.3378326889506,100.59364897605408,40.5878486018958,152342,2.0,3.0,2.0,0.0,4.0,2.0,0.0,5.0,1.0,8.0,6.0,7.0,6.0,21.0,6.0,0.0,8018.0,0.0,0.0
MID11099,ComponentRepair,170.56745510102283,446.7138319531041,100.68857138064372,40.60304197306067,160360,2.0,2.0,3.0,1.0,5.0,2.0,0.0,9.0,2.0,5.0,7.0,7.0,7.0,26.0,0.0,0.0,8018.0,0.0,0.0
MID11100,ComponentRepair,170.66875496944746,447.2414707195401,100.74751253647574,40.47877569023572,160380,3.0,1.0,3.0,1.0,3.0,0.0,0.0,5.0,3.0,5.0,6.0,10.0,8.0,26.0,3.0,0.0,8019.0,0.0,0.0
MID11101,ComponentRepair,170.5875307884232,447.92808498004314,100.81609051896166,40.68231159181636,152304,3.0,2.0,2.0,1.0,5.0,2.0,0.0,6.0,2.0,4.0,6.0,6.0,7.0,23.0,0.0,0.0,0.0,8016.0,0.0
MID11102,ComponentRepair,170.63235362933432,446.6086267148905,101.12964469319047,40.547098971065125,152342,1.0,2.0,2.0,3.0,4.0,3.0,5.0,5.0,0.0,5.0,4.0,8.0,10.0,25.0,2.0,0.0,0.0,0.0,8018.0
MID11103,ComponentRepair,170.99266583083883,446.7514631487008,100.7419580401695,40.68197573602789,152304,2.0,2.0,2.0,1.0,3.0,2.0,0.0,6.0,2.0,5.0,4.0,6.0,8.0,23.0,0.0,0.0,8016.0,0.0,0.0
MID11104,ComponentRepair,170.77866092698827,446.11519288562266,100.73248597059558,40.564695710191884,152494,4.0,3.0,3.0,0.0,4.0,4.0,0.0,6.0,7.0,6.0,1.0,11.0,10.0,28.0,0.0,0.0,0.0,8026.0,0.0
MID11105,ComponentRepair,170.5836498503361,447.1472961087551,100.66526198054365,40.426538323771545,160360,1.0,1.0,2.0,2.0,4.0,1.0,0.0,8.0,2.0,5.0,9.0,7.0,6.0,25.0,2.0,0.0,0.0,8018.0,0.0
MID11106,ComponentRepair,170.77067482220863,446.5906469120385,100.66163460885848,40.54211593387423,160300,1.0,2.0,7.0,2.0,4.0,1.0,0.0,5.0,1.0,1.0,7.0,8.0,7.0,23.0,0.0,0.0,8015.0,0.0,0.0
MID11107,ComponentRepair,170.42126361821587,447.18621610730025,100.83198389519676,40.57036116157218,160300,0.0,1.0,2.0,1.0,3.0,1.0,0.0,3.0,1.0,3.0,5.0,7.0,5.0,20.0,0.0,0.0,0.0,8015.0,0.0
MID11108,ComponentRepair,171.3172916042912,447.23822527445157,101.14492758108747,40.43416685005001,160320,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,8.0,22.0,0.0,0.0,0.0,0.0,8016.0
MID11111,ComponentRepair,170.7793744887787,446.45654465087307,100.58945705112221,40.61995900997494,160400,3.0,3.0,3.0,1.0,5.0,5.0,0.0,5.0,1.0,3.0,4.0,9.0,13.0,29.0,0.0,0.0,0.0,8020.0,0.0
MID11112,NoIssue,170.1616164318666,446.67131595811117,100.460540867722,40.48864004238882,152399,0.0,2.0,2.0,1.0,3.0,3.0,0.0,6.0,0.0,6.0,10.0,4.0,8.0,28.0,0.0,0.0,8021.0,0.0,0.0
MID11114,ComponentRepair,170.4393165255291,445.4870373349956,101.17063322291419,40.53810865255307,160600,2.0,5.0,5.0,5.0,5.0,9.0,4.0,6.0,4.0,9.0,10.0,8.0,6.0,31.0,2.0,0.0,0.0,0.0,8030.0
MID11115,ComponentRepair,171.0474974429332,447.91453708369556,100.82045679556008,40.50211479980053,160340,2.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,5.0,8.0,7.0,9.0,29.0,0.0,0.0,8017.0,0.0,0.0
MID11116,ComponentRepair,170.5220842440119,447.59845794660635,101.00298089820396,40.2811639171655,160320,1.0,2.0,2.0,1.0,3.0,2.0,0.0,3.0,0.0,10.0,4.0,9.0,2.0,24.0,1.0,0.0,8016.0,0.0,0.0
MID11118,ComponentRepair,170.9016110446272,445.01892040638154,100.99491788207418,40.53797422338573,160440,3.0,4.0,6.0,2.0,3.0,5.0,4.0,5.0,3.0,6.0,7.0,5.0,11.0,29.0,0.0,8022.0,0.0,0.0,0.0
MID11119,ComponentReplacement,170.51411991520098,446.49429942636414,101.4655371006363,40.511898057114415,160380,1.0,1.0,2.0,4.0,4.0,1.0,6.0,5.0,0.0,4.0,9.0,7.0,8.0,28.0,0.0,0.0,0.0,0.0,8019.0
MID11120,ComponentRepair,170.88361365166395,445.6186725345957,101.3722829510037,40.321932439845405,160420,3.0,4.0,3.0,5.0,2.0,5.0,7.0,3.0,4.0,5.0,7.0,2.0,8.0,22.0,0.0,8021.0,0.0,0.0,0.0
MID11121,NoIssue,170.72112424185752,445.7729081617354,100.62418368276573,40.425391512542205,152247,2.0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,3.0,3.0,7.0,2.0,6.0,18.0,0.0,0.0,0.0,8013.0,0.0
MID11122,ComponentRepair,170.81044447214313,445.9185200174483,100.68545041007121,40.4938374797458,152437,2.0,3.0,3.0,1.0,5.0,6.0,0.0,5.0,5.0,9.0,8.0,4.0,9.0,30.0,0.0,0.0,0.0,8023.0,0.0
MID11123,NoIssue,170.77928730039886,447.6965573852286,100.46802837325336,40.37529828218575,152304,3.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1.0,2.0,7.0,8.0,6.0,22.0,1.0,0.0,8016.0,0.0,0.0
